2024 Agency AI Reporting per EO 14110 - AI Use Case Inventory Form Import,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section 1: Use Case Identifiers,,,,,,,,,,,,,,,,Section 2: Use Case Summary,,,,,,,,,,,,,Section 3: Data and Code,,,,,,,,,Section 4: AI Enablement and Infrastructure,,,,,,,,,,,Section 5: Risk Management,,,,,,,,,,,,,,,,,
Use Case ID,Use Case Name,Agency,Bureau,Contact Email Address,Contacts,Use Case Topic Area,Other (Use Case Topic Area),Is the AI use case found in the below list of general commercial AI products and services?,What is the intended purpose and expected benefits of the AI?,Describe the AI system’s outputs.,Should this AI use case be withheld from public reporting?,Why should this AI use case be withheld from public reporting?,"Other, please explain.",Stage of Development,"Is the AI use case rights-impacting, safety-impacting, both, or neither?",Date Initiated,Date when Acquisition and/or Development began,Date Implemented,Date Retired,Was the AI system involved in this use case developed (or is it to be developed) under contract(s) or in-house? ,Provide the Procurement Instrument Identifier(s) (PIID) of the contract(s) used.,Is this AI use case supporting a High-Impact Service Provider (HISP) public-facing service?,Which HISP is the AI use case supporting?,Which public-facing service is the AI use case supporting?,Does this AI use case disseminate information to the public?,"How is the agency ensuring compliance with Information Quality Act guidelines, if applicable?",Does this AI use case involve personally identifiable information (PII) that is maintained by the agency?,Has the Senior Agency Official for Privacy (SAOP) assessed the privacy risks associated with this AI use case?,Do you have access to an enterprise data catalog or agency-wide data repository that enables you to identify whether or not the necessary datasets exist and are ready to develop your use case?,"If Other, please explain.","Describe any agency-owned data used to train, fine-tune, and/or evaluate performance of the model(s) used in this use case.",Is there available documentation for the model training and evaluation data that demonstrates the degree to which it is appropriate to be used in analysis or for making predictions?,"Which, if any, demographic variables does the AI use case explicitly use as model features?","If Other, please explain.",Does this project include custom-developed code?,Does the agency have access to the code associated with the AI use case?,"If the code is open-source, provide the link for the publicly available source code.",Does this AI use case have an associated Authority to Operate (ATO) for an AI system?,System Name,How long have you waited for the necessary developer tools to implement the AI use case? ,"For this AI use case, is the required IT infrastructure provisioned via a centralized intake form or process inside the agency?","If Other, please explain.",Do you have a process in place to request access to computing resources for model training and development of the AI involved in this use case?,"If Other, please explain.",Has communication regarding the provisioning of your requested resources been timely?,"If Other, please explain.","How are existing data science tools, libraries, data products, and internally-developed AI infrastructure being re-used for the current AI use case?","Has information regarding the AI use case, including performance metrics and intended use of the model, been made available for review and feedback within the agency?",Has your agency requested an extension to implement the minimum risk management practices for this AI use case?,Has an AI impact assessment been conducted for this AI use case?,Has the AI use case been tested in operational or real-world environments to understand the performance and impact it may have on affected individuals or communities?,What are the key risks from using the AI for this particular use case and how were they identified?,Has an independent evaluation of the AI use case been conducted?,Is there a process to monitor performance of the AI system’s functionality and changes to its impact on rights or safety as part of the post-deployment plan for the AI use case?,"For this particular use case, can the AI carry out a decision or action without direct human involvement that could result in a significant impact on rights or safety?","If Other, please explain.",How is the agency providing reasonable and timely notice regarding the use of AI when people interact with an AI-enabled service as a result of this AI use case?,"If Other, please explain.",Is the AI used to significantly influence or inform decisions or actions that could have an adverse or negative impact on specific individuals or groups?,What steps has the agency taken to detect and mitigate significant disparities in the model’s performance across demographic groups for this AI use case?,What steps has the agency taken to consult and incorporate feedback from groups affected by this AI use case?,"If Other, please explain.",Is there an established fallback and escalation process for this AI use case in the event that an impacted individual or group would like to appeal or contest the AI system’s outcome?,"If No, please explain.","Where practicable and consistent with applicable law and governmentwide policy, is there an established mechanism for individuals to opt-out from the AI functionality in favor of a human alternative?","If Other, please explain."
4,GovChat,Environmental Protection Agency,Office of Mission Support,CAIO@epa.gov,,Government Services (includes Benefits and Service Delivery),,None of the Above,The purpose of this application is to provide a generative AI chatbot tool to EPA staff. It is materialized as a web site user interface which users interact with on their web browser when on the EPA network.,"The Use Case produces a variety of output depending on what users use it for internally which can range from content, code, and other uses of ChatGPT. A rules of behavior requires that users do not use it for final decisions or recommendations. Additionally, users will potentially use this environment for a broad set of general AI uses. Individual use cases may be described if the system becomes widely adopted and patterns of use are determined.",No,,,Operation and Maintenance,Neither,3/1/2024,3/1/2024,12/10/2024,,Developed in-house.,,No,,,No,,No,Yes,No,,"No data is used to train, etc the model.","Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",Other,None,Yes,Yes – source code is publicly available.,https://github.com/usepa/msft-chatbot-ui/,Yes,EPA Azure Cloud Hosting System ,6-12 months,Yes,,Yes,,Yes,,Re-use production level code and/or data products: This use case re-uses production level code as well as data products that have been published or made widely available for data science teams for within the agency.,"Documentation has been developed: Complete documentation detailing model performance across a range of benchmarks, architecture, relevant features and information regarding the appropriate use of the model for predictive tasks has been created.",,,,,,,,,,,,,,,,,,
12,Transitioning historical help desk knowledge to new help desk software ,Environmental Protection Agency,Office of Air and Radiation,CAIO@epa.gov,,Energy & the Environment,,Summarizing the key points of a lengthy report using AI.,The program has 20 years of help requests and responses in a customized open source help desk tool. We are mapping out a transition to Jira Service Desk but are not able to easily import 20 years of knowledge and answers to common questions. The project team plans to use generative AI to categorize questions and summarize responses. These outputs would serve as the knowledge base for the new help desk. ,"Knowledge base to populate the new help desk system:
- Common questions
- Categories of questions
- Responses",No,,,Initiated,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Emission monitoring program knowledge management system search and summary,Environmental Protection Agency,Office of Air and Radiation,CAIO@epa.gov,,Energy & the Environment,,Searching for information using AI.,"Provide a chatbot to respond to EPA monitoring system analyst questions about the emission monitoring programs, including historical regulatory changes and the reasons for those changes. ","Using preambles and regulatory text, respond to questions such as:
- What is the grace period for performing a relative accuracy QA test?
- In what year were the monitoring performance criteria last updated and what was the justification?
- What monitoring options are available for an oil-fired power plant?",No,,,Acquisition and/or Development,Neither,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Identification of lead service lines in drinking water distribution systems using bioindicators/biomarkers,Environmental Protection Agency,Office of Reseach and Development,CAIO@epa.gov,,Science & Space,,None of the Above,Explore the potential of predictive tools to identify lead service lines (LSLs). Alternative approach using bioindicators/biomarkers obtained from high-resolution microbiome profiles to identify LSLs without excavation.,Predict LSLs in DWDSs . Two outcomes (binary): LSL or non-LSL.,No,,,Initiated,Neither,1/1/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Living Literature Review: Semi-automated Literature Screening,Environmental Protection Agency,Office of Reseach and Development,CAIO@epa.gov,,Science & Space,,None of the Above,Reduce the time required to screen literature for inclusion for chemical assessments and related research activities.,Output is a predicted binary class indicating relevance of a reference to a chemical assessment or topic of interest.,Yes,Other,"Publication is pending. Once the work is published, all information will be publicly available.",Implementation and Assessment,Neither,7/1/2021,2/1/2022,7/1/2022,,Developed in-house.,None,No,,,No,QAPP is filed in RAPID and audited annually,No,No,No,,Existing chemical assessments with existing literature screening results.,"Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",Other,None,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,NHS (OMS ATO),Less than 6 months,No,,Yes,,Yes,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,,,,,,,,,,,,,,,,,,
23,Generative AI for Study Evaluation and Document Chat,Environmental Protection Agency,Office of Research and Development,CAIO@epa.gov,,Science & Space,,None of the Above,Reduce the time required to complete study evaluation and make it easier to find/recall information found in documents.,"The outputs are generated text based upon a prompt. The text is intended to help the user answer questions about a document, specifically about the quality of the information reported.",No,,,Initiated,Neither,3/1/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Natural Gas STAR Videos ,Environmental Protection Agency,Office of Air and Radiation,CAIO@epa.gov,,Energy & the Environment,,None of the Above,"This is a commercial product that is not reflected in the list in the previous column. The purpose of using this AI tool was to simply create realistic audio narration files, without having to go through the lengthy and more expensive process of hiring a voice actor to read our scripts. The tool turns text into speech.

","The AI tool did not make any of the decisions or predictions.  It only sounded out text that we created and supplied the tool.
",No,,,Acquisition and/or Development,Neither,11/17/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Agency Records Management System (ARMS),Environmental Protection Agency,Office of Mission Support,CAIO@epa.gov,,Mission-Enabling,,None of the Above,"purpose: to improve accuracy of Records schedule prediction
expected benefit: reduce administrative burden on EPA staff ",the machine learning model predicts records schedules ,No,,,Operation and Maintenance,Neither,10/1/2020,10/1/2020,11/1/2023,,Developed in-house.,,No,,,No,N/A,Yes,Yes,No,,we used a sub-set of agency records,"Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",Other,n/a,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Agency Records Management System (ARMS Application),More than 12 months,Yes,,No,,No,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,"Documentation has been developed: Complete documentation detailing model performance across a range of benchmarks, architecture, relevant features and information regarding the appropriate use of the model for predictive tasks has been created.",,,,,,,,,,,,,,,,,,
31,Use of Microsoft CoPilot within the M365 Purview Security Suite,Environmental Protection Agency,Office of Mission Support,CAIO@epa.gov,,Mission-Enabling,,None of the Above,"Purview is one of the Agency’s tools to protect our Microsoft cloud data and endpoint devices.  Several potential use cases are possible with the addition of CoPilot into the product which is anticipated in upcoming releases within our GCC tenant.  Our proposed use of AI tools is limited in scope the Agency’s existing security boundary, data and ATO.

The expected benefits are faster answers to common questions about the nature of EPA's security and IT infrastructure environment.  We will be able to more effectively leverage the voluminous amount of data currently collected by Purview, Microsoft Security Center, and Defender agents to make decision in a more expedited fashion.  We will be able to act on results more quickly to help reduce security vulnerabilities and weaknesses.

","a.	Security and infrastructure analysts will be able to use CoPilot to better understand and report on existing security vulnerabilities on Microsoft Windows devices. Purview currently delivers canned reports in our dashboard which shows existing vulnerabilities.  CoPilot can be queried to ask specific questions about the vulnerabilities, such as which computers are impacted and the potential mitigation strategy for specific vulnerabilities.
b.	CoPilot can be used to analyze and report on installed software, reporting on potential vulnerabilities and versions for each package.
c.	CoPilot can describe and summarize Data Loss Prevention (DLP) alerts that require Agency attention and help analysts to understand which types of sensitive data are triggering alerts and to improve our models.
d.	CoPilot can quickly respond to common questions about the environment without writing custom reports:  how many Windows 22H2 computers are in the environment?  How many systems are missing the latest Microsoft System Center Configuration Manager (SCCM) client?  How many computers are still unpatched for the Log4J vulnerability?  What is the last login for the workstation name: R07Smith123?",No,,,Initiated,Neither,11/1/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Use of AI tools within the Agency’s instance of ServiceNow,Environmental Protection Agency,Office of Mission Support,CAIO@epa.gov,,Mission-Enabling,,None of the Above,"ServiceNow is used as the Agency’s primary service desk management system for resolving incidents, problems, change controls, knowledge management, inventory of systems and software including the central Configuration Management Datbase (CMDB).  Employees and IT professionals rely on this platform to obtain service, submit incidents, obtain reports and trends, and plan workloads and priorities to solve problems.  Our proposed use of AI tools is limited in scope the Agency’s existing security boundary, data and Authority to Operate (ATO).  The expected benefits are reduced numbers of service tickets and calls which will have a direct cost reduction.  Help desk and IT professionals throughout the agency will be able to leverage the vast trove of knowledge articles, asset inventory and history of hundreds of thousands of service tickets to find answers to challenging (and common) IT issues facing our workforce.","Several use cases have emerged to leverage ServiceNow's upcoming AI tools for employees to engage with an AI agent to ask technical questions to solve specific technical issues.  

For example:
b.	An employee may ask, how do I reset my password; the answer will provide a written response with steps based on our existing internal knowledge articles and a link to the Agency’s self-service password management page at pss.epa.gov.  This could divert thousands of calls away from service desk agents each year.
c.	A service desk agent may ask, how do I troubleshoot a problem a customer reports with the error message at Windows login, “domain not found.”  The response would be a list of steps both the technician and employee will need to preform to resolve the error.  This will save the technician a significant amount of time to search the ServiceNow knowledge articles, read the contents and relay instructions to the customer.
d.	A manager may ask the AI agent, how many computers in Region 10 require updates to the latest version of Windows 11 23H2?  How many installations of Adobe Acrobat (pro) are installed in HQ?  How many Dell Latitude 5340 computer have expired warranties agency-wide, provide a detailed list including service tags? 
",No,,,Initiated,Neither,7/1/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
